seam_x,seam_y,seam_z,interior,floor
5256.5869140625,10722.509765625,-7595.71337890625,179.943,35.0
5375.87890625,10447.06640625,-6750.71728515625,179.978,35.0
1368.29736328125,11305.083984375,-9947.6357421875,180.0,35.0
5053.75341796875,11052.8349609375,-8861.3310546875,179.547,35.0
5419.96630859375,10875.1611328125,-8466.78515625,180.0,35.0
5165.322265625,10789.623046875,-7832.4658203125,180.0,35.0
5537.65380859375,10815.185546875,-8195.318359375,179.978,35.0
2241.57080078125,9810.6513671875,-5014.45849609375,179.53,35.0
2027.409423828125,9810.6513671875,-3199.49462890625,179.707,35.0
4982.85888671875,10059.5205078125,-5683.26708984375,179.624,35.0
4085.10693359375,9810.650390625,-2110.87109375,180.0,35.0
2933.70458984375,3888.007080078125,-5192.072265625,180.0,35.0
3335.5068359375,9799.2626953125,-5565.0078125,180.0,35.0
3418.39599609375,9799.2626953125,-5562.8056640625,180.0,35.0
3422.2255859375,9799.2626953125,-5571.47802734375,180.0,35.0
3240.037841796875,9799.2626953125,-5543.68896484375,180.0,35.0
3243.5546875,9799.2626953125,-5545.76220703125,180.0,35.0
3514.6943359375,9799.2626953125,-5542.06494140625,180.0,35.0
3608.029541015625,9799.2626953125,-5522.80517578125,180.0,35.0
3514.021484375,9799.2626953125,-5542.2001953125,180.0,35.0
3610.31982421875,9799.2626953125,-5521.45947265625,180.0,35.0
2534.1953125,9799.2626953125,-5318.341796875,180.0,35.0
2699.826171875,9799.2626953125,-5397.2841796875,180.0,35.0
2702.852294921875,9799.2626953125,-5399.1220703125,180.0,35.0
2615.7236328125,9799.2626953125,-5354.65380859375,180.0,35.0
2623.55859375,9799.2626953125,-5358.12939453125,180.0,35.0
2792.56640625,9799.2626953125,-5428.39794921875,180.0,35.0
2535.53271484375,9799.2626953125,-5320.25732421875,180.0,35.0
2448.810546875,9799.2626953125,-5275.001953125,180.0,35.0
2387.77490234375,9799.2626953125,-5202.89013671875,180.0,35.0
2389.09423828125,9799.2626953125,-5210.39208984375,180.0,35.0
2335.802978515625,9799.2626953125,-5147.0185546875,180.0,35.0
2276.87158203125,9799.2626953125,-5068.94189453125,180.0,35.0
