seam_x,seam_y,seam_z,interior,floor
2248.57568359375,-977.4220581054688,-236.35231018066406,180.0,35.0
-1042.2528076171875,-567.4220581054688,-1970.88916015625,180.0,35.0
-1056.847412109375,-567.422119140625,-1760.4039306640625,180.0,35.0
-978.84814453125,-567.422119140625,-2022.6048583984375,177.384,35.009
-2377.2265625,-417.4220275878906,-804.4223022460938,177.162,35.011
2774.151123046875,-817.4220581054688,-1012.369384765625,174.356,35.043
2540.453125,-977.4220581054688,453.5960693359375,172.68,35.072
-1156.84765625,-417.4219970703125,-2313.703857421875,172.336,35.078
-1452.344482421875,-417.42193603515625,-1242.3575439453125,170.214,35.128
-1662.3651123046875,-417.42181396484375,-988.9644775390625,168.566,35.175
-138.0597686767578,-617.4220581054688,-1953.0701904296875,167.008,35.226
1522.7816162109375,-662.348388671875,-1913.703857421875,166.256,35.253
-2149.239013671875,-417.4220275878906,-2719.8935546875,163.777,35.354
240.13206481933594,-567.422119140625,-1463.7041015625,162.498,35.412
1022.5509033203125,-635.3985595703125,-1413.703857421875,161.586,35.457
972.5509033203125,-630.3816528320312,-1993.5361328125,161.002,35.487
1985.652587890625,-977.4220581054688,-256.3039855957031,160.202,35.529
-606.8474731445312,-454.0020751953125,-2113.703857421875,159.073,35.592
-4400.53955078125,58.65684509277344,-1592.7806396484375,157.555,35.682
1572.7813720703125,-817.4221801757812,-1469.6036376953125,154.998,35.85
-3025.452392578125,-417.4220275878906,-1558.494384765625,152.821,36.008
2004.72607421875,-817.4220581054688,-1309.42626953125,150.412,36.2
-1434.4644775390625,140.87892150878906,-3832.939697265625,150.398,36.201
-2827.13525390625,-417.4219970703125,-2517.39013671875,150.284,36.211
61.88077163696289,-518.25439453125,-2063.759765625,145.222,36.676
2162.192138671875,-194.5987091064453,3466.40234375,143.832,36.819
-3074.468017578125,-417.4220275878906,-2163.703857421875,142.771,36.932
-2863.437744140625,-417.42193603515625,-2331.828857421875,139.613,37.292
-1471.62158203125,-417.4219970703125,-2378.56640625,135.152,37.863
641.052490234375,-717.422119140625,-1912.9039306640625,135.03,37.88
576.9525756835938,-717.422119140625,-1807.7039794921875,134.541,37.947
-2410.680908203125,-417.4220275878906,-2786.49072265625,132.84,38.189
2513.7509765625,-977.4220581054688,-39.588871002197266,129.67,38.67
-3175.884765625,-417.4219970703125,-1763.703857421875,129.529,38.693
2277.609375,-817.4220581054688,-371.12841796875,129.174,38.749
-1707.482177734375,-417.4220275878906,-2734.7958984375,127.253,39.066
641.0526123046875,-717.422119140625,-1552.50390625,124.09,39.623
1522.781982421875,-817.4220581054688,-1895.9039306640625,122.115,39.995
1404.9005126953125,-817.4221801757812,-1639.545166015625,110.661,42.556
