input x,input y,x dist,y dist,total dist,angle
0, 0, -0.72499936819077, -0.68874943256378, 1.0, 57077
1, 0, -0.72499936819077, -0.68874943256378, 1.0, 57077
2, 0, -0.72499936819077, -0.68874943256378, 1.0, 57077
3, 0, -0.71600013971329, -0.6981001496315, 1.0, 57212
4, 0, -0.71600013971329, -0.6981001496315, 1.0, 57212
5, 0, -0.71600013971329, -0.6981001496315, 1.0, 57212
6, 0, -0.71600013971329, -0.6981001496315, 1.0, 57212
7, 0, -0.70710676908493, -0.70710676908493, 1.0, 57344
8, 0, -0.6981001496315, -0.71600013971329, 1.0, 57477
9, 0, -0.6981001496315, -0.71600013971329, 1.0, 57477
10, 0, -0.6981001496315, -0.71600013971329, 1.0, 57477
11, 0, -0.6981001496315, -0.71600013971329, 1.0, 57477
12, 0, -0.68874943256378, -0.72499936819077, 1.0, 57612
13, 0, -0.67976462841034, -0.73343032598495, 1.0, 57740
14, 0, -0.67976462841034, -0.73343032598495, 1.0, 57740
15, 0, -0.67976462841034, -0.73343032598495, 1.0, 57740
16, 0, -0.67976462841034, -0.73343032598495, 1.0, 57740
17, 0, -0.66996449232101, -0.74239307641983, 1.0, 57879
18, 0, -0.66996449232101, -0.74239307641983, 1.0, 57879
19, 0, -0.66103059053421, -0.75035899877548, 1.0, 58004
20, 0, -0.66103059053421, -0.75035899877548, 1.0, 58004
21, 0, -0.65079140663147, -0.75925666093826, 1.0, 58145
22, 0, -0.65079140663147, -0.75925666093826, 1.0, 58145
23, 0, -0.65079140663147, -0.75925666093826, 1.0, 58145
24, 0, -0.64193671941757, -0.76675772666931, 1.0, 58266
25, 0, -0.64193671941757, -0.76675772666931, 1.0, 58266
26, 0, -0.63127142190933, -0.77556204795837, 1.0, 58411
27, 0, -0.63127142190933, -0.77556204795837, 1.0, 58411
28, 0, -0.63127142190933, -0.77556204795837, 1.0, 58411
29, 0, -0.63127142190933, -0.77556204795837, 1.0, 58411
30, 0, -0.61144751310349, -0.79128503799438, 1.0, 58674
31, 0, -0.61144751310349, -0.79128503799438, 1.0, 58674
32, 0, -0.61144751310349, -0.79128503799438, 1.0, 58674
33, 0, -0.61144751310349, -0.79128503799438, 1.0, 58674
34, 0, -0.59136366844177, -0.8064050078392, 1.0, 58937
35, 0, -0.59136366844177, -0.8064050078392, 1.0, 58937
36, 0, -0.59136366844177, -0.8064050078392, 1.0, 58937
37, 0, -0.57952380180359, -0.81495529413223, 1.0, 59089
38, 0, -0.57952380180359, -0.81495529413223, 1.0, 59089
39, 0, -0.57106447219849, -0.820905148983, 1.0, 59197
40, 0, -0.57106447219849, -0.820905148983, 1.0, 59197
41, 0, -0.55885344743729, -0.8292663693428, 1.0, 59351
42, 0, -0.55885344743729, -0.8292663693428, 1.0, 59351
43, 0, -0.55885344743729, -0.8292663693428, 1.0, 59351
