input x,input y,x dist,y dist,total dist,angle
0, 0, -0.70710676908493, -0.70710676908493, 1.0, 57344
1, 0, -0.6981001496315, -0.71600013971329, 1.0, 57477
5, 0, -0.68874943256378, -0.72499936819077, 1.0, 57612
7, 0, -0.67976462841034, -0.73343032598495, 1.0, 57740
10, 0, -0.66996449232101, -0.74239307641983, 1.0, 57879
13, 0, -0.66103059053421, -0.75035899877548, 1.0, 58004
15, 0, -0.65079140663147, -0.75925666093826, 1.0, 58145
18, 0, -0.64193671941757, -0.76675772666931, 1.0, 58266
19, 0, -0.63127142190933, -0.77556204795837, 1.0, 58411
24, 0, -0.61144751310349, -0.79128503799438, 1.0, 58674
28, 0, -0.59999996423721, -0.79999995231628, 1.0, 58825
29, 0, -0.59136366844177, -0.8064050078392, 1.0, 58937
32, 0, -0.57952380180359, -0.81495529413223, 1.0, 59089
34, 0, -0.57106447219849, -0.820905148983, 1.0, 59197
36, 0, -0.55885344743729, -0.8292663693428, 1.0, 59351
38, 0, -0.55059468746185, -0.83477264642715, 1.0, 59455
39, 0, -0.53803539276123, -0.84292215108871, 1.0, 59611
43, 0, -0.51711565256119, -0.85591560602188, 1.0, 59868
46, 0, -0.50387102365494, -0.86377894878387, 1.0, 60028
47, 0, -0.49613893032074, -0.86824315786362, 1.0, 60122
50, 0, -0.48260477185249, -0.87583827972412, 1.0, 60283
51, 0, -0.47514891624451, -0.87990540266037, 1.0, 60372
53, 0, -0.46135276556015, -0.88721686601639, 1.0, 60535
55, 0, -0.45418745279312, -0.89090609550476, 1.0, 60619
56, 0, -0.44015720486641, -0.89792066812515, 1.0, 60783
59, 0, -0.4190582036972, -0.90795946121216, 1.0, 61026
62, 0, -0.40450602769852, -0.914535343647, 1.0, 61193
63, 0, -0.39809313416481, -0.91734504699707, 1.0, 61266
65, 0, -0.38337764143944, -0.92359161376953, 1.0, 61433
66, 0, -0.37729686498642, -0.92609232664108, 1.0, 61501
68, 0, -0.36244627833366, -0.93200469017029, 1.0, 61668
70, 0, -0.35670155286789, -0.9342183470726, 1.0, 61732
71, 0, -0.34174302220345, -0.93979340791702, 1.0, 61899
73, 0, -0.32129636406898, -0.9469787478447, 1.0, 62125
76, 0, -0.30113133788109, -0.95358258485794, 1.0, 62346
78, 0, -0.28580510616302, -0.95828771591187, 1.0, 62513
79, 0, -0.28127044439316, -0.95962852239609, 1.0, 62563
81, 0, -0.26592901349068, -0.96399265527725, 1.0, 62729
82, 0, -0.2617329955101, -0.9651403427124, 1.0, 62774
83, 0, -0.2463987916708, -0.96916854381561, 1.0, 62940
85, 0, -0.22722959518433, -0.97384119033813, 1.0, 63146
87, 0, -0.21175333857536, -0.97732311487198, 1.0, 63311
88, 0, -0.20843400061131, -0.97803646326065, 1.0, 63346
90, 0, -0.19302186369896, -0.98119449615479, 1.0, 63510
91, 0, -0.19002191722393, -0.98177993297577, 1.0, 63542
92, 0, -0.17469121515751, -0.98462325334549, 1.0, 63705
93, 0, -0.17200103402138, -0.98509681224823, 1.0, 63733
94, 0, -0.15676754713058, -0.98763555288315, 1.0, 63895
96, 0, -0.13925483822823, -0.99025654792786, 1.0, 64079
98, 0, -0.12215519696474, -0.9925109744072, 1.0, 64259
100, 0, -0.10707319527864, -0.99425113201141, 1.0, 64418
