seam_x,seam_y,seam_z,interior,floor
-1770.0,-1954.0,-234.65179443359375,180.0,35.0
-248.4670867919922,3203.345458984375,-2987.36962890625,180.0,35.0
158.67373657226562,3203.345458984375,-2987.36962890625,180.0,35.0
248.4672088623047,3203.345458984375,-2987.36962890625,180.0,35.0
-1770.0,-1954.0,234.652099609375,180.0,35.0
-442.5267639160156,-3631.18994140625,-1834.080810546875,180.0,35.0
441.2425537109375,-3631.18994140625,-1833.4764404296875,180.0,35.0
835.6954345703125,-3622.336669921875,-1235.3011474609375,180.0,35.0
1235.3011474609375,-3622.3369140625,-835.6954345703125,180.0,35.0
-659.2015991210938,1085.6751708984375,-3099.9716796875,180.0,35.0
-729.2015991210938,1085.6751708984375,-3049.9716796875,180.0,35.0
-735.4801025390625,3131.97802734375,-2937.581787109375,180.0,35.0
-655.9534301757812,3131.97802734375,-2988.592041015625,180.0,35.0
658.2376098632812,1084.739013671875,-3099.9716796875,180.0,35.0
655.0337524414062,3131.97802734375,-2989.628662109375,180.0,35.0
-414.07745361328125,-3631.18994140625,1845.5760498046875,180.0,35.0
415.7947998046875,-3631.18994140625,1845.698486328125,180.0,35.0
-136.09475708007812,-3603.046875,-2039.637451171875,180.0,35.0
-150.0,-3603.046875,-1969.2388916015625,180.0,35.0
-136.09475708007812,-3603.046875,-1898.84033203125,180.0,35.0
135.86045837402344,-3603.046875,-2039.637451171875,180.0,35.0
150.0,-3603.046875,-1969.2388916015625,180.0,35.0
135.86045837402344,-3603.046875,-1898.84033203125,180.0,35.0
1482.57568359375,-4354.84228515625,-135.45945739746094,180.0,35.0
1552.9742431640625,-4354.84228515625,-149.59898376464844,180.0,35.0
-150.0,3198.401123046875,-3059.055419921875,180.0,35.0
-135.86045837402344,3198.401123046875,-2988.656982421875,180.0,35.0
-2887.388916015625,1096.7996826171875,-150.0,180.0,35.0
-2816.990234375,1096.7996826171875,-136.09475708007812,180.0,35.0
136.09475708007812,3198.401123046875,-2988.656982421875,180.0,35.0
150.0,3198.401123046875,-3059.055419921875,180.0,35.0
2886.4404296875,1095.775390625,-150.0,180.0,35.0
2816.041748046875,1095.775390625,-136.09475708007812,180.0,35.0
-150.0,-3603.046875,1969.2388916015625,180.0,35.0
-135.86045837402344,-3603.046875,1898.84033203125,180.0,35.0
1552.9742431640625,-4354.84228515625,150.40101623535156,180.0,35.0
1482.57568359375,-4354.84228515625,136.49578857421875,180.0,35.0
136.09475708007812,-3603.046875,1898.84033203125,180.0,35.0
150.0,-3603.046875,1969.2388916015625,180.0,35.0
-2887.388916015625,1096.7996826171875,150.0,180.0,35.0
-2816.990234375,1096.7996826171875,135.86045837402344,180.0,35.0
-149.7871551513672,1543.572998046875,2880.992431640625,180.0,35.0
-135.64761352539062,1543.572998046875,2810.594482421875,180.0,35.0
-126.15463256835938,3708.966064453125,2825.750732421875,180.0,35.0
-140.29403686523438,3708.966064453125,2896.1494140625,180.0,35.0
2886.4404296875,1095.775390625,150.0,180.0,35.0
2816.041748046875,1095.775390625,135.86045837402344,180.0,35.0
136.30760192871094,1543.572998046875,2810.594482421875,180.0,35.0
150.2128448486328,1543.572998046875,2880.992431640625,180.0,35.0
145.80062866210938,3708.966064453125,2825.750732421875,180.0,35.0
159.70596313476562,3708.966064453125,2896.1494140625,180.0,35.0
-1060.6614990234375,-4350.0,-1060.661376953125,162.0,35.436
-680.9859619140625,-4350.0,-1336.510009765625,162.0,35.436
-234.6517791748047,-4350.0,-1481.5345458984375,162.0,35.436
-1898.2232666015625,-4350.0,-234.6515655517578,162.0,35.436
-250.27207946777344,-4350.0,-39.63913345336914,162.0,35.436
-225.77354431152344,-4350.0,-115.0373306274414,162.0,35.436
-179.17503356933594,-4350.0,-179.175048828125,162.0,35.436
234.6517333984375,-4350.0,-1481.533935546875,162.0,35.436
680.9856567382812,-4350.0,-1336.5101318359375,162.0,35.436
39.63921356201172,-4350.0,-250.27206420898438,162.0,35.436
115.037353515625,-4350.0,-225.77354431152344,162.0,35.436
-115.03733825683594,-4350.0,-225.77349853515625,162.0,35.436
179.17507934570312,-4350.0,-179.1748809814453,162.0,35.436
225.7738494873047,-4350.0,-115.03736877441406,162.0,35.436
250.27230834960938,-4350.0,-39.639156341552734,162.0,35.436
1481.5350341796875,-4350.0,-234.65170288085938,162.0,35.436
-250.27230834960938,-4350.0,39.63925552368164,162.0,35.436
-179.17495727539062,-4350.0,179.175048828125,162.0,35.436
-1336.5108642578125,-4350.0,680.9859619140625,162.0,35.436
-1060.6611328125,-4350.0,1060.661376953125,162.0,35.436
225.77354431152344,-4350.0,115.03742218017578,162.0,35.436
179.17507934570312,-4350.0,179.17503356933594,162.0,35.436
-39.63916778564453,-4350.0,250.2721405029297,162.0,35.436
39.639278411865234,-4350.0,250.27235412597656,162.0,35.436
115.03742218017578,-4350.0,225.7737274169922,162.0,35.436
1481.5341796875,-4350.0,234.65220642089844,162.0,35.436
1481.5343017578125,-3600.0,234.65179443359375,162.0,35.436
-1044.1767578125,-1297.2506103515625,1044.1773681640625,162.0,35.436
-1087.27001953125,3094.9697265625,1087.270263671875,162.0,35.436
-1730.3734130859375,1025.575927734375,-311.0347595214844,135.0,37.884
-1866.035888671875,1021.6810913085938,333.2276611328125,135.0,37.884
