seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
2443.467529296875,736.2773904841979,-6010.39013671875,2408.5341796875,736.2774047851562,-5975.75634765625,2443.53857421875,736.2773904841979,-6010.4599609375,90.714
2132.153564453125,1810.2940659099768,-9126.5078125,2130.869873046875,1810.2940673828125,-9075.5087890625,2132.15625,1810.2940659099768,-9126.6083984375,176.612
-1690.404052734375,728.4600219726564,-4928.13525390625,-1707.959228515625,728.4600219726562,-4880.04638671875,-1690.369873046875,728.4600219726564,-4928.2294921875,167.993
-52.36175537109375,729.5085243428522,-6697.748046875,-2.2074618339538574,729.508544921875,-6707.9501953125,-52.5773811340332,729.5085243428522,-6697.7041015625,168.357
3169.015869140625,1707.8111089771573,-6330.794921875,3129.401123046875,1707.8111572265625,-6298.04931640625,3169.09375,1707.8111089771573,-6330.859375,162.83
-17.971649169921875,728.4600219726562,-6399.77783203125,27.907129287719727,728.4600219726562,-6374.9560546875,-18.05961799621582,728.4600219726562,-6399.82568359375,150.858
7.864838123321533,728.5319729317782,-6504.6181640625,60.176177978515625,728.531982421875,-6506.20556640625,7.524994373321533,728.5319729317782,-6504.60791015625,148.836
1236.00732421875,22.262653350830078,-5440.390625,1289.793701171875,22.262653350830078,-5453.58935546875,1235.7935791015625,22.262653350830078,-5440.337890625,78.392
1590.4083251953125,1050.6336584299256,-5700.107421875,1582.975830078125,1050.6336669921875,-5758.3701171875,1590.436767578125,1050.6336584299256,-5699.8818359375,109.97
-1550.6744384765625,728.4600219726562,-4859.80810546875,-1540.88330078125,728.4600219726562,-4801.57861328125,-1550.69091796875,728.4600219726562,-4859.9052734375,108.794
-1220.898681640625,728.4600219726562,-4439.6669921875,-1279.3426513671875,728.4600219726562,-4449.98779296875,-1220.8017578125,728.4600219726562,-4439.64990234375,107.688
2587.37158203125,1792.3285743578647,-9101.56640625,2543.25537109375,1792.32861328125,-9056.935546875,2587.52587890625,1792.3285743578647,-9101.7236328125,96.937
-563.13037109375,728.4600219726562,-5852.46923828125,-561.35009765625,728.4600219726562,-5788.19384765625,-563.13330078125,728.4600219726562,-5852.56787109375,92.877
1703.101318359375,22.262653350830078,-5257.51025390625,1654.8350830078125,22.262653350830078,-5301.58740234375,1703.1751708984375,22.262653350830078,-5257.44287109375,90.311
3502.7060546875,1682.7926574096896,-6032.044921875,3437.43505859375,1682.7926025390625,-6028.2822265625,3502.805908203125,1682.7926574096896,-6032.05078125,90.274
1463.583251953125,22.26265335083008,-5247.26611328125,1507.8897705078125,22.262653350830078,-5295.46533203125,1463.515625,22.26265335083008,-5247.1923828125,90.065
772.60693359375,728.4600219726562,-6186.88427734375,818.9450073242188,728.4600219726562,-6233.02294921875,772.4512329101562,728.4600219726562,-6186.7294921875,90.247
593.2166137695312,728.4600219726562,-6007.498046875,548.5697631835938,728.4600219726562,-5960.279296875,593.6966552734375,728.4600219726562,-6008.005859375,91.207
561.143798828125,1795.5352733206546,-7430.732421875,515.4038696289062,1795.5352783203125,-7477.2509765625,561.46630859375,1795.5352733206546,-7430.404296875,90.603
2522.657958984375,734.9700317382814,-7351.74609375,2523.7861328125,734.9700317382812,-7417.22265625,2522.654296875,734.9700317382814,-7351.52587890625,90.026
2627.89794921875,736.435782556323,-6008.44775390625,2674.15185546875,736.435791015625,-5961.7041015625,2627.827392578125,736.435782556323,-6008.5185546875,89.397
547.2079467773438,1706.8903219156446,-6208.10302734375,500.9468994140625,1706.890380859375,-6254.2666015625,547.6182861328125,1706.8903219156446,-6207.69384765625,90.333
559.0817260742188,1769.0500425530731,-7280.26513671875,512.207763671875,1769.050048828125,-7234.029296875,559.32373046875,1769.0500425530731,-7280.50390625,89.215
589.4197998046875,728.4600219726562,-6187.673828125,542.2631225585938,728.4600219726562,-6234.046875,589.4910278320312,728.4600219726562,-6187.60400390625,88.546
2580.779052734375,1709.9094699973048,-6018.06396484375,2581.915771484375,1709.909423828125,-5952.544921875,2580.7587890625,1709.9094699973048,-6019.2392578125,89.928
2627.89794921875,735.3308069241559,-6194.81494140625,2674.275146484375,735.330810546875,-6240.6728515625,2626.720947265625,735.3308069241559,-6193.6513671875,90.645
2522.739501953125,734.9700317382812,-7169.2216796875,2523.897216796875,734.9700317382812,-7103.72314453125,2522.714599609375,734.9700317382812,-7170.63818359375,89.974
2443.10791015625,735.153509016477,-6196.89501953125,2442.26611328125,735.1535034179688,-6262.716796875,2443.123291015625,735.153509016477,-6195.7158203125,89.245
2580.70361328125,1709.2591888804232,-6160.82470703125,2582.046875,1709.2591552734375,-6226.12890625,2580.662109375,1709.2591888804232,-6158.7998046875,90.417
2112.136474609375,22.262653350830078,-5487.4033203125,2065.85107421875,22.262653350830078,-5536.53662109375,2112.204833984375,22.262653350830078,-5487.33056640625,85.624
